Sigla;Código;Município;1970;1980;1991;2000;2010;
MG;3103900;Araújos;55,65;59,03;67,633;72,277;76,27;
MG;3104007;Araxá;57,63;61,08;67,413;70,082;76,49;
MG;3104106;Arceburgo;52,95;56,97;64,93;68,481;73,61;
MG;3104205;Arcos;50,92;59,64;68,59;74,484;77,43;
MG;3104304;Areado;51,81;59,89;67,588;72,096;75,84;
MG;3104403;Argirita;51,66;60,34;67,365;70,545;74;
MG;3104452;Aricanduva;;;64,953;66,822;72,22;
MG;3104502;Arinos;50,21;57,42;61,713;69,661;73,88;
MG;3104601;Astolfo Dutra;49,1;59,35;67,521;73,397;76,5;
MG;3104700;Ataléia;48,77;58,08;63,971;65,3;73,77;
MG;3104809;Augusto de Lima;52,26;54,16;63,227;66,318;73,9;
MG;3104908;Baependi;47,97;58,95;66,541;72,067;74,97;
MG;3105004;Baldim;48,32;55,78;67,798;70,974;72,21;
MG;3105103;Bambuí;54,31;58,04;64,761;73,643;77,2;
MG;3105202;Bandeira;43,08;53,59;62,613;65,366;73,64;
MG;3105301;Bandeira do Sul;49,85;58,78;67,564;73,933;73,14;
MG;3105400;Barão de Cocais;48,41;56,72;65,707;69,518;76,46;
MG;3105509;Barão de Monte Alto;48,17;57,75;64,003;68,401;74,64;
MG;3105608;Barbacena;49,64;55,66;66,117;72,473;77,88;
MG;3105707;Barra Longa;46;56,44;58,984;63,357;74,36;
MG;3105905;Barroso;46,69;56,59;67,671;69,227;76,84;
MG;3106002;Bela Vista de Minas;49,41;57,22;60,081;67,398;72,72;
MG;3106101;Belmiro Braga;52,13;57,63;68,045;71,582;74,81;
MG;3106200;Belo Horizonte;50,28;55,98;68,64;70,52;76,37;
MG;3106309;Belo Oriente;45,44;55,29;60,321;66,211;73,77;
MG;3106408;Belo Vale;50,18;56,25;65,381;70,412;73,86;
MG;3106507;Berilo;48,59;55,88;66,858;70,723;73,97;
MG;3106606;Bertópolis;51,2;53,87;56,353;60,205;72,96;
MG;3106655;Berizal;;;56,363;60,282;70,41;
MG;3106705;Betim;48,68;56,12;65,468;71,755;76,82;
MG;3106804;Bias Fortes;52,13;57,63;68,045;73,897;72,75;
MG;3106903;Bicas;56,27;62,49;68,595;72,027;75,99;
MG;3107000;Biquinhas;54,76;61,15;68,044;72,504;76,4;
MG;3107109;Boa Esperança;51,13;59,29;68,99;73,273;76,28;
MG;3107208;Bocaina de Minas;47,39;59,07;66,09;71,445;75,87;
MG;3107307;Bocaiúva;54,63;57,47;66,288;72,542;74,29;
MG;3107406;Bom Despacho;53;58,55;67,633;72,131;76,66;
MG;3107505;Bom Jardim de Minas;50,2;59,07;67,889;73,236;74,34;
MG;3107604;Bom Jesus da Penha;49,68;61,96;67,016;72,243;76,74;
MG;3107703;Bom Jesus do Amparo;53,32;56,77;58,937;67,398;75,01;
MG;3107802;Bom Jesus do Galho;46,77;54,63;61,467;65,199;73,01;
MG;3107901;Bom Repouso;49,72;58,3;69,625;71,83;74,25;
MG;3108008;Bom Sucesso;51,34;56,97;68,259;71,993;73,49;
MG;3108107;Bonfim;50,18;56,25;65,381;68,395;75,01;
MG;3108206;Bonfinópolis de Minas;51,01;57,73;66,834;72,24;72,73;
MG;3108255;Bonito de Minas;;;60,302;64,313;71,57;
MG;3108305;Borda da Mata;53,43;62,73;69,625;71,55;76,92;
MG;3108404;Botelhos;52,71;58,38;69,194;74,41;77,07;
MG;3108503;Botumirim;53,28;61,24;64,075;68,918;71,94;
MG;3108552;Brasilândia de Minas;;;63,813;70,66;75,87;
MG;3108602;Brasília de Minas;56,3;60,09;64,098;68,8;73,78;
MG;3108701;Brás Pires;57,46;60,75;66,86;70,081;73,03;
MG;3108800;Braúnas;48,59;55,41;62,752;67,891;73,1;
MG;3108909;Brasópolis;46,46;55,58;65,466;67,419;75,45;
MG;3109006;Brumadinho;50,05;57,6;66,246;68,78;76,39;
MG;3109105;Bueno Brandão;48,86;58,3;67,47;73,834;75,9;
MG;3109204;Buenópolis;50,53;56,23;58,555;65,214;72,74;
MG;3109253;Bugre;;;66,677;68,413;73,01;
MG;3109303;Buritis;51,01;59,33;64,884;68,374;73,88;
MG;3109402;Buritizeiro;47;57,3;60,598;64,147;71,06;
MG;3109451;Cabeceira Grande;;;66,834;71,275;72,25;
MG;3109501;Cabo Verde;50,48;53,36;64,268;68,481;75,82;
MG;3109600;Cachoeira da Prata;56,07;56,76;66,556;71,537;75,02;
MG;3109709;Cachoeira de Minas;55,61;57,83;68,245;73,203;74,25;
MG;3109808;Cachoeira Dourada;50,77;58,81;68,462;72,207;76,02;
MG;3109907;Caetanópolis;49,19;58,58;66,302;69,884;75,71;
MG;3110004;Caeté;48,94;59,78;64,216;71,695;75,62;
MG;3110103;Caiana;55,44;58,34;63,492;68,401;74,98;
MG;3110202;Cajuri;46,35;60,01;57,701;66,121;73,26;
MG;3110301;Caldas;51,93;59;69,642;74,571;77,35;
MG;3110400;Camacho;51;60,12;62,543;70,384;75,38;
MG;3110509;Camanducaia;49,54;55,08;66,927;74,661;75,22;
MG;3110608;Cambuí;53,49;55,77;66,997;73,04;77,33;
MG;3110707;Cambuquira;52,74;58,51;68,781;74,609;76,34;
MG;3110806;Campanário;47,08;53,05;61,897;63,157;74,85;
MG;3110905;Campanha;50,89;60,97;68,987;73,183;75,93;
MG;3111002;Campestre;52,27;57,31;65,773;72,383;75,59;
MG;3111101;Campina Verde;55,05;57,45;70,211;74,798;77,06;
MG;3111150;Campo Azul;;;64,098;67,038;72,96;
MG;3111200;Campo Belo;46,79;57,91;68,133;73,484;77,1;
MG;3111309;Campo do Meio;50,1;58,5;65,953;72,253;74,61;
MG;3111408;Campo Florido;54,68;64,92;68,119;71,282;76,46;
MG;3111507;Campos Altos;54,12;62,55;67,73;74,607;76,62;
MG;3111606;Campos Gerais;51,35;55,29;66,383;72,34;74,27;
MG;3111705;Canaã;54,2;56,8;64,932;66,121;72,88;
MG;3111804;Canápolis;51,13;58,54;68,636;72,449;77,32;
MG;3111903;Cana Verde;48,9;58;65,672;73,484;74,25;
MG;3112000;Candeias;49,97;59,03;68,133;70,392;74,81;
MG;3112059;Cantagalo;;;65,476;66,85;73,94;
MG;3112109;Caparaó;49,2;58,16;65,668;72,824;75,16;
MG;3112208;Capela Nova;51,67;58,24;63,044;70,06;72,84;
MG;3112307;Capelinha;55,57;58,29;59,315;66,595;74,41;
MG;3112406;Capetinga;51,36;61,4;66,036;73,287;75,88;
MG;3112505;Capim Branco;53,27;60,28;67,048;70,633;75,19;
MG;3112604;Capinópolis;51,91;55,69;68,629;72,207;75,47;
MG;3112653;Capitão Andrade;;;61,174;68,163;73,28;
MG;3112703;Capitão Enéas;48,69;57,06;64,098;67,362;73,37;
MG;3112802;Capitólio;51,57;61,19;69,058;74,042;74,51;
MG;3112901;Caputira;49,53;55,69;61,53;64,901;73,53;
MG;3113008;Caraí;46,52;52,69;64,139;66,878;71,88;
MG;3113107;Caranaíba;47,91;55,95;66,356;70,184;73,44;
MG;3113206;Carandaí;50,54;56,97;67,671;72,473;74,27;
MG;3113305;Carangola;50,75;54,99;68,729;72,022;75,19;
MG;3113404;Caratinga;46,21;53,41;64,843;70,073;75,16;
MG;3113503;Carbonita;50,89;61,39;64,953;67,545;72,74;
MG;3113602;Careaçu;49,04;54,12;69,594;74,588;74,41;
MG;3113701;Carlos Chagas;51,28;55,11;61,257;66,751;74,55;
MG;3113800;Carmésia;47,2;57,36;66,044;69,661;73,28;
MG;3113909;Carmo da Cachoeira;46,91;54,95;64,137;72,253;73,03;
MG;3114006;Carmo da Mata;53,08;60,96;65,792;68,299;75,41;
MG;3114105;Carmo de Minas;53,37;58,72;68,14;72,067;75,71;
MG;3114204;Carmo do Cajuru;53,71;57,25;68,847;73,084;76,16;
MG;3114303;Carmo do Paranaíba;53,11;60,45;69,606;74,755;76,63;
MG;3114402;Carmo do Rio Claro;53,34;57,2;66,525;73,964;76,01;
MG;3114501;Carmópolis de Minas;58,9;61,12;68,259;71,993;75,99;
MG;3114550;Carneirinho;;;67,003;73,022;77,37;
MG;3114600;Carrancas;56,75;58,83;64,671;70,675;77,59;
MG;3114709;Carvalhópolis;52,47;59,58;67,588;73,562;75,98;
MG;3114808;Carvalhos;51,6;59,07;67,889;70,64;74,2;
MG;3114907;Casa Grande;51,01;61,44;64,112;67,575;74,39;
MG;3115003;Cascalho Rico;54,36;60,42;68,636;73,923;75,72;
MG;3115102;Cássia;54,07;58,34;69,058;74,042;75,22;
MG;3115201;Conceição da Barra de Minas;45,63;55,7;64,389;66,38;73,91;
MG;3115300;Cataguases;53,69;60,23;69,863;73,277;76,68;
MG;3115359;Catas Altas;;;65,707;73,746;74,65;
MG;3115409;Catas Altas da Noruega;50,23;55,79;64,112;67,575;72,96;
MG;3115458;Catuji;;;60,874;65,684;71,23;
MG;3115474;Catuti;;;62,661;65,265;71,38;
MG;3115508;Caxambu;50,49;57,72;69,273;73,783;75,85;
MG;3115607;Cedro do Abaeté;52,74;58,98;68,044;73,859;73,04;
MG;3115706;Central de Minas;47,2;56,91;65,129;68,678;74,37;
MG;3115805;Centralina;48,72;61,45;65,521;69,5;76,19;
MG;3115904;Chácara;47,57;56,77;66,689;68,762;77,66;
MG;3116001;Chalé;51,66;56,67;65,668;71,494;72,21;
MG;3116100;Chapada do Norte;49,88;60,68;66,858;68,718;72,86;
MG;3116159;Chapada Gaúcha;;;65,901;69,056;74,22;
MG;3116209;Chiador;52,55;57,63;68,045;70,45;77,05;
MG;3116308;Cipotânea;56,64;59,21;62,818;64,542;69,97;
MG;3116407;Claraval;51,62;59,28;66,036;71,333;75,88;
MG;3116506;Claro dos Poções;46,62;57,38;64,098;67,038;72,96;
MG;3116605;Cláudio;49,01;59,34;63,873;67,541;75,75;
MG;3116704;Coimbra;50,65;56,8;64,87;73,592;74,49;
MG;3116803;Coluna;49,94;54,24;60,91;66,756;71,91;
MG;3116902;Comendador Gomes;53,23;60,02;68,507;73,729;76,01;
MG;3117009;Comercinho;50,46;55,47;60,208;62,679;72,83;
MG;3117108;Conceição da Aparecida;51,97;59,19;67,588;73,964;75,83;
MG;3117207;Conceição das Pedras;52,07;60,71;69,594;73,176;74,25;
MG;3117306;Conceição das Alagoas;50,77;63,32;68,119;71,282;76,72;
